Time,count
09-Nov,13236.4
09-Dec,15168.2
10-Jan,10971.8
10-Feb,11781
10-Mar,15292.7
10-Apr,14593.4
10-May,14829.1
10-Jun,15714.1
10-Jul,16273.1
10-Aug,16850.4
10-Sep,17791.9
10-Oct,14853.5
10-Nov,17534.8
10-Dec,19299
11-Jan,17065.7
11-Feb,11147.1
11-Mar,19083.3
11-Apr,18193.8
11-May,18661.1
11-Jun,19438
11-Jul,19308.2
11-Aug,19710.6
11-Sep,21535.3
11-Oct,20162.9
11-Nov,23220
11-Dec,26366.2
12-Jan,25301.6
12-Feb,17177.4
12-Mar,28645.4
12-Apr,28015
12-May,29113.8
12-Jun,30078.4
12-Jul,29599
12-Aug,31235.6
12-Sep,32462.6
12-Oct,33414.7
12-Nov,39393.8
12-Dec,42873.8
13-Jan,27319.4
13-Feb,35164.2
13-Mar,41850.9
13-Apr,40373.8
13-May,48993.9
13-Jun,45447.6
13-Jul,46244.9
13-Aug,46561.8
13-Sep,51345.3
13-Oct,52421.3
13-Nov,67126.6
13-Dec,65698.4
14-Jan,68917.7
14-Feb,35473.1
14-Mar,67043.8
14-Apr,66249.4
14-May,74178.7
14-Jun,72154.1
14-Jul,74802.1
14-Aug,75266.7
14-Sep,83637.1
14-Oct,85303.5
14-Nov,108703.4
14-Dec,106945.3
15-Jan,88950
15-Feb,68886.2
15-Mar,102528.2
15-Apr,105417.5
15-May,111634.7
15-Jun,112926.3
15-Jul,111245.1
15-Aug,114050.7
15-Sep,122992
15-Oct,128997.1
15-Nov,164616.4
15-Dec,163681.1
16-Jan,144570.4
16-Feb,81779.5
16-Mar,142537.8
16-Apr,151483.9
16-May,161002.5
16-Jun,164486.7
16-Jul,163988.3
16-Aug,169020.3
16-Sep,191336.9
16-Oct,194064.8
16-Nov,260537.8
16-Dec,241828
17-Jan,215505.3
17-Feb,124618.3
17-Mar,236922.2
17-Apr,237303.2
17-May,253108.3
17-Jun,257633.1
17-Jul,249640.6
17-Aug,252296.1
17-Sep,282685.9
17-Oct,302614.2
17-Nov,376447.9
17-Dec,339540
18-Jan,221113.6
18-Feb,234430.1
18-Mar,303493.7
18-Apr,298237
18-May,334061.8
18-Jun,340451.7
18-Jul,320498.9
18-Aug,326398.6
18-Sep,360605.6
18-Oct,374771.5
18-Nov,471490.3
18-Dec,420037.7
19-Jan,398613.3
19-Feb,198867.2
19-Mar,394348.6
19-Apr,375275.5
19-May,417842.2
19-Jun,422881
19-Jul,408083.3
19-Aug,410136
19-Sep,447629.1
19-Oct,469187.5
19-Nov,586357
19-Dec,541822.2
20-Jan,452289.5
20-Feb,275950.6
20-Mar,486392.8
20-Apr,491910.9
20-May,523276.4
20-Jun,546077.6
20-Jul,524847.6
20-Aug,530243
20-Sep,559722.6
20-Oct,575730.1
