Month,Count
08-Nov,13236.4
08-Dec,15168.2
09-Jan,10971.8
09-Feb,11781
09-Mar,15292.7
09-Apr,14593.4
09-May,14829.1
09-Jun,15714.1
09-Jul,16273.1
09-Aug,16850.4
09-Sep,17791.9
09-Sep,14853.5
09-Nov,17534.8
09-Dec,19299
10-Jan,17065.7
10-Feb,11147.1
10-Mar,19083.3
10-Apr,18193.8
10-May,18661.1
10-Jun,19438
10-Jul,19308.2
10-Aug,19710.6
10-Sep,21535.3
10-Oct,20162.9
10-Oct,23220
10-Dec,26366.2
11-Jan,25301.6
11-Feb,17177.4
11-Mar,28645.4
11-Apr,28015
11-May,29113.8
11-Jun,30078.4
11-Jul,29599
11-Aug,31235.6
11-Sep,32462.6
11-Oct,33414.7
11-Nov,39393.8
11-Nov,42873.8
12-Jan,27319.4
12-Feb,35164.2
12-Mar,41850.9
12-Apr,40373.8
12-May,48993.9
12-Jun,45447.6
12-Jul,46244.9
12-Aug,46561.8
12-Sep,51345.3
12-Oct,52421.3
12-Nov,67126.6
12-Dec,65698.4
13-Jan,68917.7
13-Feb,35473.1
13-Mar,67043.8
13-Apr,66249.4
13-May,74178.7
13-Jun,72154.1
13-Jul,74802.1
13-Aug,75266.7
13-Sep,83637.1
13-Oct,85303.5
13-Nov,108703.4
13-Dec,106945.3
14-Jan,88950
14-Feb,68886.2
14-Mar,102528.2
14-Apr,105417.5
14-May,111634.7
14-Jun,112926.3
14-Jul,111245.1
14-Aug,114050.7
14-Sep,122992
14-Oct,128997.1
14-Nov,164616.4
14-Dec,163681.1
15-Jan,144570.4
15-Feb,81779.5
15-Mar,142537.8
15-Apr,151483.9
15-May,161002.5
15-Jun,164486.7
15-Jul,163988.3
15-Aug,169020.3
15-Sep,191336.9
15-Oct,194064.8
15-Nov,260537.8
15-Dec,241828
16-Jan,215505.3
16-Feb,124618.3
16-Mar,236922.2
16-Apr,237303.2
16-May,253108.3
16-Jun,257633.1
16-Jul,249640.6
16-Aug,252296.1
16-Sep,282685.9
16-Oct,302614.2
16-Nov,376447.9
16-Dec,339540
17-Jan,221113.6
17-Feb,234430.1
17-Mar,303493.7
17-Apr,298237
17-May,334061.8
17-Jun,340451.7
17-Jul,320498.9
17-Aug,326398.6
17-Sep,360605.6
17-Oct,374771.5
17-Nov,471490.3
17-Dec,420037.7
18-Jan,398613.3
18-Feb,198867.2
18-Mar,394348.6
18-Apr,375275.5
18-May,417842.2
18-Jun,422881
18-Jul,408083.3
18-Aug,410136
18-Sep,447629.1
18-Oct,469187.5
18-Nov,586357
18-Dec,541822.2
19-Jan,452289.5
19-Feb,275950.6
19-Mar,486392.8
19-Apr,491910.9
19-May,523276.4
19-Jun,546077.6
19-Jul,524847.6
19-Aug,530243
19-Sep,559722.6
19-Oct,575730.1
19-Nov,712424.1
19-Dec,673425.7
20-Jan,378096.8
20-Feb,276521.4
20-Mar,598423.1
20-Apr,649726.4
20-May,738292.5
20-Jun,746967.5
20-Jul,693601.4
20-Aug,723622.1
20-Sep,809158.2
20-Oct,823388
